task,quantity,family,mode,method,reps,data_qubits,objective_qubits,total_problem_qubits,phase_qubits,shots,phase_states,estimator_model,qae_mae_vs_analytic,qae_median_abs_error_vs_analytic,qae_mae_vs_exact,qae_median_abs_error_vs_exact,exact_mae_vs_analytic,qae_estimate_std,n_points,n_trials
second_collision_2d,D2_depth_dose,chebyshev,theta,qGAN,24,10,1,11,10,8192,1024,qpe_phase_register_mean_sampling,0.03083065033764422,0.031846360964915305,0.0006681578390171531,0.0004429192678939431,0.031144956445024765,0.2831764809639867,9,100
second_collision_2d,D2_depth_dose,fft,cos_q,HN-MLP,8,10,1,11,4,512,16,qpe_phase_register_mean_sampling,0.030219327050110382,0.028424430589071487,0.042400506165064654,0.04653455640200785,0.0157958311979821,0.30453972482091096,9,100
second_collision_2d,D2_depth_dose,fft,cos_q,HN-MLP,8,10,1,11,4,2048,16,qpe_phase_register_mean_sampling,0.029890176218985726,0.02829533887187438,0.042073512356156695,0.04830119268450811,0.0157958311979821,0.3042375993037961,9,100
second_collision_2d,D2_depth_dose,fft,cos_q,HN-MLP,8,10,1,11,4,8192,16,qpe_phase_register_mean_sampling,0.029948176686072643,0.027176058296052824,0.04213387018438465,0.04948305541810866,0.0157958311979821,0.304242593472485,9,100
second_collision_2d,D2_depth_dose,fft,cos_q,HN-MLP,8,10,1,11,6,512,64,qpe_phase_register_mean_sampling,0.01423104591442158,0.014829467713500938,0.00853755538125105,0.004806753168353564,0.0157958311979821,0.29610734539252964,9,100
second_collision_2d,D2_depth_dose,fft,cos_q,HN-MLP,8,10,1,11,6,2048,64,qpe_phase_register_mean_sampling,0.014175043619929124,0.015014884126661604,0.008277970611943028,0.004873023830716444,0.0157958311979821,0.29636372528465404,9,100
second_collision_2d,D2_depth_dose,fft,cos_q,HN-MLP,8,10,1,11,6,8192,64,qpe_phase_register_mean_sampling,0.014012808615738313,0.01508032346834079,0.008247611682832664,0.005604207296364072,0.0157958311979821,0.29636389112437234,9,100
second_collision_2d,D2_depth_dose,fft,cos_q,HN-MLP,8,10,1,11,8,512,256,qpe_phase_register_mean_sampling,0.013402177762471672,0.014746308058624175,0.0032416419916195516,0.0020201083368736883,0.0157958311979821,0.29390193888390326,9,100
second_collision_2d,D2_depth_dose,fft,cos_q,HN-MLP,8,10,1,11,8,2048,256,qpe_phase_register_mean_sampling,0.013504463407025987,0.014891468726359575,0.00297955153367254,0.0020886331228152644,0.0157958311979821,0.29379756579531835,9,100
second_collision_2d,D2_depth_dose,fft,cos_q,HN-MLP,8,10,1,11,8,8192,256,qpe_phase_register_mean_sampling,0.013447629752211317,0.014858728857167908,0.002986513877523946,0.0022672946260084426,0.0157958311979821,0.2938147253477562,9,100
second_collision_2d,D2_depth_dose,fft,cos_q,HN-MLP,8,10,1,11,10,512,1024,qpe_phase_register_mean_sampling,0.015561500743191143,0.016858962889890416,0.001098116626181976,0.0007054214738844711,0.0157958311979821,0.29180430013701325,9,100
second_collision_2d,D2_depth_dose,fft,cos_q,HN-MLP,8,10,1,11,10,2048,1024,qpe_phase_register_mean_sampling,0.015581533787065857,0.017537928168717326,0.0007347698952971509,0.0005350067452376869,0.0157958311979821,0.2918522154193142,9,100
second_collision_2d,D2_depth_dose,fft,cos_q,HN-MLP,8,10,1,11,10,8192,1024,qpe_phase_register_mean_sampling,0.015611700747476963,0.01778690720839779,0.000592235233161309,0.0004409304298717831,0.0157958311979821,0.2918321118260108,9,100
second_collision_2d,D2_depth_dose,fft,cos_q,qGAN,8,10,1,11,4,512,16,qpe_phase_register_mean_sampling,0.12454810639180451,0.11683374961375571,0.03493653107078345,0.017177804582570927,0.14745495066627465,0.2462807779215077,9,100
second_collision_2d,D2_depth_dose,fft,cos_q,qGAN,8,10,1,11,4,2048,16,qpe_phase_register_mean_sampling,0.12433918746309573,0.11730953858209325,0.033802262486711955,0.014057879603023238,0.14745495066627465,0.24626013552108256,9,100
second_collision_2d,D2_depth_dose,fft,cos_q,qGAN,8,10,1,11,4,8192,16,qpe_phase_register_mean_sampling,0.12424242285754715,0.11696512771674605,0.03382103859795346,0.014133524302083894,0.14745495066627465,0.2464699351538757,9,100
second_collision_2d,D2_depth_dose,fft,cos_q,qGAN,8,10,1,11,6,512,64,qpe_phase_register_mean_sampling,0.14131701550686687,0.15858773742013013,0.009992976800287948,0.006259561903012238,0.14745495066627465,0.21938153196706944,9,100
second_collision_2d,D2_depth_dose,fft,cos_q,qGAN,8,10,1,11,6,2048,64,qpe_phase_register_mean_sampling,0.14149187733019875,0.15765794554049106,0.009153032583958007,0.005598044982355714,0.14745495066627465,0.21907608735714945,9,100
second_collision_2d,D2_depth_dose,fft,cos_q,qGAN,8,10,1,11,6,8192,64,qpe_phase_register_mean_sampling,0.1413193610079807,0.15763545810811702,0.00898254917522797,0.005341556178626049,0.14745495066627465,0.21920361412694353,9,100
